Tanggal,Pintu Masuk,Jumlah Kunjungan
2018-04-01,B. Pintu Laut,236833.0
2018-04-01,Entikong,1277.0
2018-04-01,Nanga Badau,661.0
2018-04-01,Pintu Darat Lainnya,198017.0
2018-04-01,Jumlah (A+B+C),1302321.0
2018-04-01,Lainnya,
2018-04-01,Batam,144104.0
2018-04-01,Atambua,5571.0
2018-05-01,Soekarno-Hatta,191631.0
2018-05-01,A. Pintu Udara,805452.0
2018-05-01,Ngurah Rai,526281.0
2018-05-01,Juanda,24420.0
2018-05-01,Husein Sastranegara,10453.0
2018-05-01,Adi Sucipto,9584.0
2018-05-01,Kualanamu,14624.0
2018-05-01,Sultan Iskandar Muda,1717.0
2018-05-01,Minangkabau,3002.0
2018-05-01,Sultan Syarif Kasim II,1666.0
2018-05-01,Pintu Udara Lainnya,695.0
2018-05-01,Ahmad Yani,1612.0
2018-05-01,Supadio,1473.0
2018-05-01,Hasanuddin,661.0
2018-05-01,Bandara Int. Lombok,7512.0
2018-05-01,Sam Ratulangi,9405.0
2018-05-01,Sultan Badaruddin II,716.0
2018-05-01,B. Pintu Laut,230118.0
2018-05-01,Total,1242705.0
2018-05-01,Tanjung Pinang,11268.0
2018-05-01,Tanjung Balai Karimun,5295.0
2018-05-01,Tanjung Benoa,2231.0
2018-05-01,Tanjung Mas,137.0
2018-05-01,Pintu Laut Lainnya,35197.0
2018-05-01,C. Pintu Darat,207135.0
2018-05-01,Aruk,1051.0
2018-05-01,Tanjung Uban,33833.0
2018-05-01,Entikong,1827.0
2018-05-01,Nanga Badau,1114.0
2018-05-01,Pintu Darat Lainnya,189318.0
2018-05-01,Jumlah (A+B+C),1242705.0
2018-05-01,Lainnya,
2018-05-01,Batam,142157.0
2018-05-01,Jayapura,7542.0
2018-05-01,Atambua,6283.0
2018-06-01,A. Pintu Udara,817405.0
2018-06-01,Ngurah Rai,540462.0
2018-06-01,Soekarno-Hatta,182887.0
2018-06-01,Juanda,27329.0
2018-06-01,Kualanamu,18153.0
2018-06-01,Husein Sastranegara,6401.0
2018-06-01,Adi Sucipto,7547.0
2018-06-01,Sultan Syarif Kasim II,2838.0
2018-06-01,Sam Ratulangi,10107.0
2018-06-01,Minangkabau,4549.0
2018-06-01,Sultan Iskandar Muda,1468.0
2018-06-01,Ahmad Yani,1647.0
2018-06-01,Supadio,1652.0
2018-06-01,Hasanuddin,1216.0
2018-06-01,Sultan Badaruddin II,1311.0
2018-06-01,Pintu Udara Lainnya,979.0
2018-06-01,Bandara Int. Lombok,8859.0
2018-06-01,Total,1322674.0
2018-06-01,Jayapura,5864.0
2018-06-01,Pintu Laut Lainnya,56830.0
2018-06-01,Tanjung Uban,40296.0
2018-06-01,Tanjung Pinang,12815.0
2018-06-01,Tanjung Balai Karimun,7885.0
2018-06-01,Tanjung Benoa,4088.0
2018-06-01,Tanjung Mas,0.0
2018-06-01,C. Pintu Darat,215957.0
2018-06-01,B. Pintu Laut,289312.0
2018-06-01,Atambua,7047.0
2018-06-01,Entikong,2756.0
2018-06-01,Aruk,2200.0
2018-06-01,Nanga Badau,1331.0
2018-06-01,Pintu Darat Lainnya,196759.0
2018-06-01,Jumlah (A+B+C),1322674.0
2018-06-01,Lainnya,
2018-06-01,Batam,167398.0
2018-07-01,A. Pintu Udara,1073385.0
2018-07-01,Ngurah Rai,624263.0
2018-07-01,Soekarno-Hatta,322808.0
2018-07-01,Juanda,33390.0
2018-07-01,Kualanamu,22330.0
2018-07-01,Husein Sastranegara,12751.0
2018-07-01,Adi Sucipto,13642.0
2018-07-01,Sultan Syarif Kasim II,2417.0
2018-07-01,Sam Ratulangi,11875.0
2018-07-01,Minangkabau,5100.0
2018-07-01,Sultan Iskandar Muda,3297.0
2018-07-01,Ahmad Yani,2114.0
2018-07-01,Supadio,1639.0
2018-07-01,Hasanuddin,1566.0
2018-07-01,Sultan Badaruddin II,1185.0
2018-07-01,Pintu Udara Lainnya,1028.0
2018-07-01,Bandara Int. Lombok,13980.0
2018-07-01,Total,1547231.0
2018-07-01,Jayapura,6643.0
2018-07-01,B. Pintu Laut,252458.0
2018-07-01,Tanjung Uban,52228.0
2018-07-01,Tanjung Pinang,10661.0
2018-07-01,Tanjung Balai Karimun,6397.0
2018-07-01,Tanjung Benoa,29.0
2018-07-01,Pintu Laut Lainnya,38908.0
2018-07-01,C. Pintu Darat,221388.0
2018-07-01,Tanjung Mas,0.0
2018-07-01,Atambua,6508.0
2018-07-01,Entikong,1453.0
2018-07-01,Nanga Badau,849.0
2018-07-01,Pintu Darat Lainnya,205110.0
2018-07-01,Jumlah (A+B+C),1547231.0
2018-07-01,Lainnya,
2018-07-01,Batam,144235.0
2018-07-01,Aruk,825.0
2018-08-01,Adi Sucipto,13468.0
2018-08-01,A. Pintu Udara,1006054.0
2018-08-01,Ngurah Rai,571380.0
2018-08-01,Soekarno-Hatta,308698.0
2018-08-01,Juanda,34166.0
2018-08-01,Husein Sastranegara,13697.0
2018-08-01,Kualanamu,23753.0
2018-08-01,Pintu Udara Lainnya,939.0
2018-08-01,Minangkabau,5602.0
2018-08-01,Sultan Syarif Kasim II,2977.0
2018-08-01,Sultan Iskandar Muda,3087.0
2018-08-01,Ahmad Yani,2650.0
2018-08-01,Supadio,1992.0
2018-08-01,Hasanuddin,1626.0
2018-08-01,Bandara Int. Lombok,4308.0
2018-08-01,Sam Ratulangi,15448.0
2018-08-01,Sultan Badaruddin II,2263.0
2018-08-01,Atambua,7912.0
2018-08-01,Total,1511021.0
2018-08-01,Tanjung Pinang,12310.0
2018-08-01,Tanjung Balai Karimun,6913.0
2018-08-01,Tanjung Benoa,1315.0
2018-08-01,Tanjung Mas,0.0
2018-08-01,Pintu Laut Lainnya,43469.0
2018-08-01,C. Pintu Darat,224099.0
2018-08-01,Aruk,1516.0
2018-08-01,Tanjung Uban,57643.0
2018-08-01,Entikong,1821.0
2018-08-01,Nanga Badau,1121.0
2018-08-01,Pintu Darat Lainnya,204023.0
2018-08-01,Jumlah (A+B+C),1511021.0
2018-08-01,Lainnya,
2018-08-01,Batam,159218.0
2018-08-01,Jayapura,7706.0
2018-08-01,B. Pintu Laut,280868.0
2018-09-01,A. Pintu Udara,911326.0
2018-09-01,Ngurah Rai,555888.0
2018-09-01,Soekarno-Hatta,250058.0
2018-09-01,Juanda,24835.0
2018-09-01,Kualanamu,19851.0
2018-09-01,Husein Sastranegara,13328.0
2018-09-01,Adi Sucipto,12553.0
2018-09-01,Sultan Syarif Kasim II,2321.0
2018-09-01,Sam Ratulangi,12730.0
2018-09-01,Minangkabau,5094.0
2018-09-01,Sultan Iskandar Muda,3074.0
2018-09-01,Ahmad Yani,2117.0
2018-09-01,Supadio,2254.0
2018-09-01,Hasanuddin,1281.0
2018-09-01,Sultan Badaruddin II,1160.0
2018-09-01,Pintu Udara Lainnya,916.0
2018-09-01,Jayapura,11220.0
2018-09-01,Bandara Int. Lombok,3866.0
2018-09-01,Total,1370943.0
2018-09-01,Pintu Laut Lainnya,37527.0
2018-09-01,Tanjung Uban,53214.0
2018-09-01,Tanjung Pinang,12530.0
2018-09-01,Tanjung Balai Karimun,7292.0
2018-09-01,Tanjung Benoa,15.0
2018-09-01,Tanjung Mas,0.0
2018-09-01,C. Pintu Darat,195095.0
2018-09-01,B. Pintu Laut,264522.0
2018-09-01,Atambua,8575.0
2018-09-01,Entikong,1608.0
2018-09-01,Aruk,1143.0
2018-09-01,Nanga Badau,1097.0
2018-09-01,Pintu Darat Lainnya,171452.0
2018-09-01,Jumlah (A+B+C),1370943.0
2018-09-01,Lainnya,
2018-09-01,Batam,153944.0
2018-10-01,Ngurah Rai,515181.0
2018-10-01,Soekarno-Hatta,244775.0
2018-10-01,Juanda,25938.0
2018-10-01,Kualanamu,15744.0
2018-10-01,Husein Sastranegara,13850.0
2018-10-01,Adi Sucipto,11613.0
2018-10-01,Bandara Int. Lombok,3515.0
2018-10-01,Sultan Iskandar Muda,2058.0
2018-10-01,Minangkabau,4055.0
2018-10-01,Sultan Syarif Kasim II,2654.0
2018-10-01,Ahmad Yani,2022.0
2018-10-01,Supadio,1697.0
2018-10-01,Hasanuddin,1187.0
2018-10-01,Sultan Badaruddin II,1167.0
2018-10-01,Pintu Udara Lainnya,1441.0
2018-10-01,A. Pintu Udara,855240.0
2018-10-01,Sam Ratulangi,8343.0
2018-10-01,B. Pintu Laut,243901.0
2018-10-01,Atambua,8246.0
2018-10-01,Batam,141337.0
2018-10-01,Tanjung Pinang,10759.0
2018-10-01,Tanjung Balai Karimun,5981.0
2018-10-01,Tanjung Benoa,2030.0
2018-10-01,Tanjung Mas,133.0
2018-10-01,C. Pintu Darat,192464.0
2018-10-01,Jayapura,14147.0
2018-10-01,Pintu Laut Lainnya,35919.0
2018-10-01,Entikong,1235.0
2018-10-01,Aruk,745.0
2018-10-01,Pintu Darat Lainnya,166993.0
2018-10-01,Jumlah (A+B+C),1291605.0
2018-10-01,Lainnya,
2018-10-01,Total,1291605.0
2018-10-01,Tanjung Uban,47742.0
2018-10-01,Nanga Badau,1098.0
2018-11-01,Husein Sastranegara,14280.0
2018-11-01,A. Pintu Udara,716298.0
2018-11-01,Ngurah Rai,406679.0
2018-11-01,Soekarno-Hatta,206820.0
2018-11-01,Juanda,29992.0
2018-11-01,B. Pintu Laut,259832.0
2018-11-01,Adi Sucipto,10661.0
2018-11-01,Pintu Udara Lainnya,2162.0
2018-11-01,Minangkabau,5118.0
2018-11-01,Sultan Syarif Kasim II,3265.0
2018-11-01,Sultan Iskandar Muda,1137.0
2018-11-01,Ahmad Yani,1844.0
2018-11-01,Supadio,2352.0
2018-11-01,Hasanuddin,1171.0
2018-11-01,Sultan Badaruddin II,1238.0
2018-11-01,Kualanamu,21538.0
2018-11-01,Sam Ratulangi,5735.0
2018-11-01,Bandara Int. Lombok,2306.0
2018-11-01,Jayapura,2467.0
2018-11-01,Tanjung Pinang,11073.0
2018-11-01,Tanjung Balai Karimun,6749.0
2018-11-01,Tanjung Benoa,46.0
2018-11-01,Tanjung Mas,4686.0
2018-11-01,Pintu Laut Lainnya,34162.0
2018-11-01,C. Pintu Darat,181353.0
